Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,0.1uF,C_0402_1005Metric,105.9,-45.5,0.0,bottom
C13,0.22uF,C_0402_1005Metric,91.230978,-38.660977,180.0,bottom
C16,1uF,C_0402_1005Metric,95.62133,-49.520756,180.0,top
C17,1uF,C_0402_1005Metric,101.55,-42.85,-90.0,top
C18,0.1uF,C_0402_1005Metric,101.583341,-46.528627,90.0,top
C19,0.1uF,C_0402_1005Metric,91.12,-47.49,0.0,top
C20,4.7uF,C_0402_1005Metric,98.72,-59.27,90.0,bottom
C21,4.7uF,C_0402_1005Metric,106.2,-60.8,-90.0,top
C22,10nF,C_0201_0603Metric,99.85551,-54.376111,-90.0,top
C23,47uF,C_1206_3216Metric,100.83429,-57.556726,-90.0,top
C24,1uF,C_0402_1005Metric,95.777864,-55.174204,90.0,top
C25,10pF,C_0402_1005Metric,90.6,-44.02,90.0,bottom
C26,10pF,C_0402_1005Metric,95.56307,-44.590231,0.0,bottom
C27,1.8nF,C_0402_1005Metric,99.57,-42.13,180.0,bottom
C29,47nF,C_0201_0603Metric,96.32535,-35.489319,270.0,bottom
C30,47nF,C_0201_0603Metric,97.51446,-43.370672,90.0,bottom
C31,56pF,C_0402_1005Metric,97.006249,-33.5425,270.0,bottom
C32,47nF,C_0201_0603Metric,91.417455,-41.311201,180.0,bottom
C33,10nF,C_0402_1005Metric,99.711073,-40.368044,0.0,bottom
C34,47nF,C_0201_0603Metric,91.408777,-39.514107,180.0,bottom
C35,10nF,C_0402_1005Metric,97.017289,-31.66949,270.0,bottom
C36,100pF,C_0402_1005Metric,97.958005,-31.670767,270.0,bottom
C37,5.1pF,C_0402_1005Metric,100.486249,-38.4625,180.0,bottom
C38,5.1pF,C_0402_1005Metric,99.82066,-34.924096,90.0,bottom
C39,5.1pF,C_0402_1005Metric,100.515892,-36.580123,0.0,bottom
C40,39pF,C_0402_1005Metric,98.334962,-35.389117,270.0,bottom
C41,2.2pF,C_0402_1005Metric,99.375291,-32.597834,0.0,bottom
C42,6.2pF,C_0402_1005Metric,99.379506,-31.680235,0.0,bottom
C43,10nF X7R,C_0402_1005Metric,97.068908,-49.240526,90.0,bottom
C44,0.1uF,C_0402_1005Metric,103.606013,-51.126666,-90.0,top
C45,0.1uF,C_0402_1005Metric,96.989398,-49.945694,90.0,top
C46,0.1uF,C_0402_1005Metric,96.794229,-38.209598,0.0,top
C47,47nF,C_0201_0603Metric,95.737384,-43.393246,90.0,bottom
C48,47nF,C_0201_0603Metric,94.677814,-35.673629,270.0,bottom
C49,47nF,C_0201_0603Metric,99.759899,-41.2,0.0,bottom
C5,8pF,C_0402_1005Metric,90.968739,-37.4204,-90.0,top
C50,47nF,C_0201_0603Metric,95.030356,-43.404934,90.0,bottom
C51,47nF,C_0201_0603Metric,96.79,-43.38,90.0,bottom
C6,8pF,C_0402_1005Metric,95.46,-36.16,90.0,top
C7,0.1uF,C_0402_1005Metric,106.470391,-36.963131,90.0,bottom
C8,1uF,C_0402_1005Metric,106.483237,-38.813973,270.0,bottom
C9,0.1uF,C_0402_1005Metric,101.2,-42.28,90.0,bottom
D2,BAT54CW,SOT-323_SC-70,101.838101,-50.245521,90.0,top
D3,LED_Dual_AAKK,DualLED0606,97.72147,-31.342058,90.0,top
D4,LED_Dual_AAKK,DualLED0606,106.215,-51.815,0.0,top
D5,LED_Dual_AAKK,DualLED0606,91.125,-49.425,180.0,top
D6,PPS,LED_0402_1005Metric,95.651185,-56.071328,0.0,bottom
FB1,LI0402C221R-10,L_0402_1005Metric,101.567084,-44.68385,90.0,top
FB2,LQG15HS47NJ02,L_0402_1005Metric,97.059974,-52.971571,90.0,bottom
J10,Conn_01x04_MountingPin,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,104.673457,-42.994765,-90.0,top
J5,UFL,U.FL_Molex_MCRF_73412-0110_Vertical,100.326594,-55.270378,90.0,bottom
L1,LQG15HS56NJ02D,L_0402_1005Metric,99.106249,-38.8775,90.0,bottom
L2,LQG15HS56NJ02D,L_0402_1005Metric,97.408749,-35.377499,90.0,bottom
L3,LQG15HZ27NJ02D,L_0402_1005Metric,100.510425,-39.427157,180.0,bottom
L4,LQG15HZ27NJ02D,L_0402_1005Metric,100.541826,-37.522156,0.0,bottom
